strategy,param,seed,total_reward,final_reward
thompson,2.0,10,3356.0,1.0
thompson,2.0,11,3823.0,1.0
thompson,2.0,12,3195.0,1.0
thompson,2.0,13,3500.0,1.0
thompson,2.0,14,3557.0,1.0
thompson,2.0,15,3622.0,1.0
thompson,2.0,16,3409.0,1.0
thompson,2.0,17,3067.0,1.0
thompson,2.0,18,3603.0,1.0
thompson,2.0,19,3499.0,1.0
thompson,5.0,0,3481.0,1.0
thompson,5.0,1,2930.0,1.0
thompson,5.0,2,3468.0,1.0
thompson,5.0,3,3503.0,1.0
thompson,5.0,4,2781.0,1.0
thompson,5.0,5,3205.0,1.0
thompson,5.0,6,3150.0,1.0
thompson,5.0,7,3083.0,1.0
thompson,5.0,8,3097.0,1.0
thompson,5.0,9,3288.0,1.0
thompson,5.0,10,3228.0,1.0
thompson,5.0,11,3556.0,1.0
thompson,5.0,12,2887.0,1.0
thompson,5.0,13,3292.0,1.0
thompson,5.0,14,3230.0,1.0
thompson,5.0,15,3363.0,1.0
thompson,5.0,16,3049.0,1.0
thompson,5.0,17,2646.0,1.0
thompson,5.0,18,3432.0,1.0
thompson,5.0,19,3249.0,1.0
thompson,10.0,0,2947.0,1.0
thompson,10.0,1,2687.0,1.0
thompson,10.0,2,3307.0,1.0
thompson,10.0,3,3262.0,1.0
thompson,10.0,4,2578.0,1.0
thompson,10.0,5,3030.0,1.0
thompson,10.0,6,2821.0,1.0
thompson,10.0,7,2997.0,1.0
thompson,10.0,8,2843.0,1.0
thompson,10.0,9,3003.0,1.0
thompson,10.0,10,2860.0,1.0
thompson,10.0,11,3192.0,1.0
thompson,10.0,12,2216.0,1.0
thompson,10.0,13,3134.0,1.0
thompson,10.0,14,2839.0,1.0
thompson,10.0,15,3134.0,1.0
thompson,10.0,16,2704.0,1.0
thompson,10.0,17,2110.0,1.0
thompson,10.0,18,2937.0,1.0
thompson,10.0,19,2876.0,1.0
